,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
80,20,110,120,168959.4504353,5.5761892999896645,822.0,168953.87424600002,0.021330034721086345
81,40,110,120,150566.449735,111.17485899999019,732.0,150455.274876,0.01935029374404017
82,60,110,120,175951.6044128,9.370404799994901,856.0,175942.234008,0.021169071463219637
83,80,110,120,178666.586253,52.33233599999579,869.0,178614.253917,0.021312991796008155
84,20,10,140,205879.7579461,2189.624883099996,991.0,203690.13306300002,0.02519232149633047
85,40,10,140,214479.28128844997,7294.968344449981,1008.0,207184.312944,0.025649532542283946
86,60,10,140,210938.4235562,54.39073819999612,1026.0,210884.032818,0.0252874903165253
87,80,10,140,222013.60126795,30.408827949985735,1080.0,221983.19244,0.02701568092369644
88,20,30,140,164623.5276118,397.0732047999955,799.0,164226.454407,0.020028025489469244
89,40,30,140,168365.75387545,6811.319377449991,786.0,161554.43449800002,0.020083079067977586
90,60,30,140,171865.51397005,34.07982204999598,836.0,171831.434148,0.020785014754155538
91,80,30,140,180264.75180660002,6.177945599996079,877.0,180258.573861,0.022444525071671276
92,20,50,140,172940.94093375,903.9667927499961,837.0,172036.974141,0.021038805382975187
93,40,50,140,171937.752802,6066.978450999992,807.0,165870.774351,0.020531638678910353
94,60,50,140,175739.3003415,2.6063264999898763,855.0,175736.69401500002,0.021874581505325064
95,80,50,140,182730.59680055,5.543023549992284,889.0,182725.05377700002,0.022950229572863672
96,20,70,140,170223.32904575003,858.3748137499972,824.0,169364.95423200002,0.020567768487890874
97,40,70,140,171120.49884585,6071.884466849992,803.0,165048.614379,0.02032635997759087
98,60,70,140,175179.1120468,59.038010799986296,852.0,175120.074036,0.021689320237909246
99,80,70,140,181535.24608705,43.43226804999206,883.0,181491.813819,0.022718506260786808
100,20,90,140,175654.35098895,123.19696694999209,854.0,175531.154022,0.022114335697766056
101,40,90,140,167662.54392505,147.44963004999772,815.0,167515.09429500002,0.021017597153599195
102,60,90,140,173101.55827315003,36.8841671499987,842.0,173064.67410600002,0.02143371987525046
103,80,90,140,182135.0799116,26.64611359999958,886.0,182108.433798,0.021599287319727534
104,20,110,140,159299.8017712,6.307196199992973,775.0,159293.49457500002,0.0204124327285843
105,40,110,140,169260.9283944,101.51415539999562,823.0,169159.414239,0.021132469070439662
106,60,110,140,185410.5110211,13.437335099996332,902.0,185397.07368600002,0.022480227659250944
107,80,110,140,187885.2220005,21.66839849999883,914.0,187863.553602,0.022556507949265777
108,20,130,140,205994.8820536,43.80906759999425,1002.0,205951.072986,0.024606171885791093
109,40,130,140,207234.5209073,50.207963299994844,1008.0,207184.312944,0.024994561597680404
110,60,130,140,207830.61230315,29.679380149992667,1011.0,207800.93292300001,0.025043358070800107
111,80,130,140,205134.3622122,5.449198199997227,998.0,205128.91301400002,0.024558488432129853
112,20,10,160,162013.66723974998,1692.4726997499963,780.0,160321.19454,0.01948729827017368
113,40,10,160,169286.16395885003,5881.869523849993,795.0,163404.29443500002,0.020050655005323537
114,60,10,160,167764.2238804,43.589592399996036,816.0,167720.634288,0.019566581994993552
115,80,10,160,177184.91323005,9.439264049994307,862.0,177175.47396600002,0.02175758048261913
116,20,30,160,163025.77416875,1676.879663749998,785.0,161348.894505,0.01961128957545252
117,40,30,160,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
118,60,30,160,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
119,80,30,160,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
120,20,50,160,163030.6250774,1681.730572399996,785.0,161348.894505,0.019613868624387683
121,40,50,160,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
122,60,50,160,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
123,80,50,160,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
124,20,70,160,163030.6250774,1681.730572399996,785.0,161348.894505,0.019613868624387683
125,40,70,160,169284.92898260002,5880.634547599992,795.0,163404.29443500002,0.020050312808892135
126,60,70,160,166766.4899018,73.55557879999651,811.0,166692.934323,0.0192896237186979
127,80,70,160,177391.4396781,10.425719099995277,863.0,177381.013959,0.021763876235227235
128,20,90,160,162890.15892810002,1746.8044160999996,784.0,161143.35451200002,0.019537772258918985
129,40,90,160,169475.9003823,5866.065954299994,796.0,163609.834428,0.020114176272279998
130,60,90,160,166780.36831125,87.43398824999531,811.0,166692.934323,0.01931340860500882
131,80,90,160,173952.34606385,65.51198584999293,846.0,173886.834078,0.021033052227086006
132,20,110,160,167529.65799150002,14.563696499994194,815.0,167515.09429500002,0.02028250463481366
133,40,110,160,171856.25320829998,24.819060299992998,836.0,171831.434148,0.020703806921410113
134,60,110,160,166165.21789305,88.90354904999549,808.0,166076.314344,0.019186674133721455
135,80,110,160,167927.01970655,0.8454255499948431,817.0,167926.174281,0.01952266559177218
136,20,130,160,212132.3619587,15.089182699990488,1032.0,212117.272776,0.025229500887423373
137,40,130,160,214077.63076215,110.4980491499764,1041.0,213967.132713,0.025722608873749386
138,60,130,160,213766.50542605,4.912706049977288,1040.0,213761.59272000002,0.025682869496656636
139,80,130,160,211510.6358441,9.983047099988255,1029.0,211500.65279700002,0.02524343005347862
140,20,150,160,199638.1469314,58.81372839998153,971.0,199579.33320300002,0.02531028232676496
